spp,leafAge,treatment,vcmaxMean,vcmaxSE,sampleNo
BET,mature,control,31.25532867,4.890147976,10
QUE,mature,control,28.36647767,3.41354679,18
EUC,mature,control,23.55906232,6.282541023,10
MOL,mature,control,14.18931797,2.203598764,15
PIN,mature,control,25.27696046,4.145923487,15
PTE,mature,control,27.05229737,6.600957136,8
BET,young,control,17.19779891,2.591045096,10
EUC,young,control,20.50386916,6.299163447,10
MOL,young,control,9.713177382,1.55399112,15
PIN,young,control,33.93627238,6.839406019,16
PTE,young,control,10.85259428,2.497102284,8
BET,mature,drought,17.29822101,6.133858338,11
QUE,mature,drought,25.19209867,4.104889445,23
EUC,mature,drought,13.53558802,4.532898384,9
MOL,mature,drought,12.92112988,1.97906484,21
PIN,mature,drought,24.53055249,5.560760735,16
PTE,mature,drought,11.45377957,5.264117003,7
BET,young,drought,12.31295971,3.01711855,11
EUC,young,drought,11.36890348,3.978765776,9
MOL,young,drought,8.441228278,1.860062618,18
PIN,young,drought,22.72495339,5.406840154,14
PTE,young,drought,3.3179078,0.500735294,5
BET,mature,well-watered,30.39298854,3.747363399,17
QUE,mature,well-watered,40.9060118,5.685252123,17
EUC,mature,well-watered,46.79142003,4.825637597,20
MOL,mature,well-watered,33.65703984,5.040385474,16
PIN,mature,well-watered,46.23185591,4.299053547,16
PTE,mature,well-watered,38.55122732,4.280380122,17
BET,young,well-watered,31.74097645,3.590849681,18
QUE,young,well-watered,19.01588479,1.932549956,20
EUC,young,well-watered,46.15715135,3.756540218,18
MOL,young,well-watered,18.69809936,2.484516245,18
PIN,young,well-watered,34.41532958,3.117779776,16
PTE,young,well-watered,13.75444906,3.685421215,15
