spp,leafAge,treatment,vcmaxMean,vcmaxSE,sampleNo
BET,mature,control,41.86763531,3.319331133,3
QUE,mature,control,32.33411783,7.011453643,3
EUC,mature,control,37.06112786,5.785332057,4
MOL,mature,control,11.9317709,2.797732399,3
PIN,mature,control,49.16393534,6.680243824,2
PTE,mature,control,34.81937355,14.76073023,3
BET,mature,drought,31.93150855,13.2471692,4
QUE,mature,drought,32.97276788,3.032520691,4
EUC,mature,drought,22.9091954,7.295042317,4
MOL,mature,drought,19.99349412,8.170373171,4
PIN,mature,drought,59.40518767,3.737862216,3
PTE,mature,drought,22.40780887,9.354317973,3
BET,mature,well-watered,37.23370976,5.567146766,5
QUE,mature,well-watered,49.09527009,15.51416265,5
EUC,mature,well-watered,66.9037755,7.960050363,6
MOL,mature,well-watered,28.91897338,7.895705696,5
PIN,mature,well-watered,54.81569427,8.097583877,5
PTE,mature,well-watered,48.73571305,8.550926146,6
BET,young,control,19.14686667,5.385904838,3
EUC,young,control,40.84157711,14.55804074,3
MOL,young,control,15.1510183,2.479860753,3
PIN,young,control,71.99244868,11.43707698,3
PTE,young,control,13.09689734,4.618915235,3
BET,young,drought,20.03615124,5.878327414,4
EUC,young,drought,19.56402035,6.997389155,4
MOL,young,drought,14.3361319,5.901976434,4
PIN,young,drought,49.82633093,2.392875506,3
PTE,young,drought,4.011812999,0.414202532,3
BET,young,well-watered,35.30793706,3.431687224,5
QUE,young,well-watered,22.02764351,3.918281141,5
EUC,young,well-watered,58.68354515,7.327023813,5
MOL,young,well-watered,25.82789136,2.082743938,6
PIN,young,well-watered,45.95702179,1.890053353,5
PTE,young,well-watered,15.30934567,8.230388542,4
