"spp","leafAge","treatment","vcmaxMean","vcmaxSE","sampleNo"
"BET","mature","control",38.6978078850421,0.781702795599119,3
"BET","mature","drought",12.9378046776432,6.61622806246371,4
"BET","mature","well-watered",15.2707259495725,8.40990592235178,4
"BET","young","control",21.8919564110393,2.55395772781062,3
"BET","young","drought",10.3166659427218,3.60656312965184,4
"BET","young","well-watered",30.421050404961,6.34718777950144,5
"EUC","mature","control",22.5313838649686,15.9841633477782,3
"EUC","mature","drought",8.55691530949957,5.06289645866335,3
"EUC","mature","well-watered",35.1366980214005,6.19707225523383,7
"EUC","young","control",19.4178514517102,4.45581603609918,3
"EUC","young","drought",5.98372787624263,3.06100820078244,3
"EUC","young","well-watered",40.2391364874366,6.24227094231159,6
"MOL","mature","control",15.3876678169686,1.68474811456318,3
"MOL","mature","drought",17.3053996502021,1.38670663166244,4
"MOL","mature","well-watered",39.9470290327837,7.43953075264648,5
"MOL","young","control",9.18772897504964,4.18940163822931,3
"MOL","young","drought",7.19596438797039,3.3051533052205,4
"MOL","young","well-watered",18.5694163350736,5.66581555010925,5
"PIN","mature","control",29.008168303709,1.51891372773344,2
"PIN","mature","drought",34.6222603632718,6.37571810970962,3
"PIN","mature","well-watered",52.4406439808358,8.07121514307007,5
"PIN","young","control",42.5342848418476,17.5791456237486,3
"PIN","young","drought",34.0542077924466,8.20377277813806,3
"PIN","young","well-watered",34.0762938932968,5.7625337113021,5
"PTE","mature","control",22.4633672009318,11.7600543685288,3
"PTE","mature","drought",3.93820724691672,0.708136927765743,3
"PTE","mature","well-watered",42.0574440446985,5.06339350403509,4
"PTE","young","control",8.6179078485795,4.04606149223089,3
"PTE","young","drought",2.27705000015528,0.432464489905136,2
"PTE","young","well-watered",16.4554331496675,10.8270154843722,4
"QUE","mature","control",39.0847546513958,8.62505652340007,3
"QUE","mature","drought",36.4477918234563,6.02317042911896,4
"QUE","mature","well-watered",41.9946619867552,6.86714792177303,3
"QUE","young","well-watered",17.5791691091311,3.84120472763275,5
"ZEA","mature","control",NA,NA,0
"ZEA","mature","drought",NA,NA,0
"ZEA","mature","well-watered",NA,NA,0
"ZEA","young","control",NA,NA,0
"ZEA","young","drought",NA,NA,0
"ZEA","young","well-watered",NA,NA,0
