"spp","treatment","leafAge","Photo.mean","Cond.mean","Photo.s.err","Cond.s.err"
"BET","control","mature",7.03666666666667,0.0714666666666667,0.205372290676658,0.00546056570126006
"BET","control","young",4.61333333333333,0.0658333333333333,0.926936411579085,0.0264994549210189
"BET","drought","mature",1.7775,0.015675,0.765118454881334,0.00413730487958848
"BET","drought","young",1.48,0.0125,0.445888625854783,0.0025377155080899
"BET","well-watered","mature",3.27,0.059975,1.73023119842407,0.0321618919167804
"BET","well-watered","young",6.67,0.11504,1.64431444681363,0.0438406158715865
"EUC","control","mature",3.78666666666667,0.0359666666666667,2.455974574606,0.0197759393652433
"EUC","control","young",3.30333333333333,0.0334,0.577821579536259,0.00819023809177731
"EUC","drought","mature",1.1425,0.017025,0.633276861517404,0.00287528984046246
"EUC","drought","young",0.6625,0.008775,0.431921578530177,0.00197119887378215
"EUC","well-watered","mature",6.82714285714286,0.0903857142857143,1.39138114713354,0.0253618050710628
"EUC","well-watered","young",7.42166666666667,0.0908166666666667,1.25325553836576,0.0191187066624404
"MOL","control","mature",3.38333333333333,0.0729,0.367619972858446,0.037555869492442
"MOL","control","young",1.89666666666667,0.031,0.625841655515018,0.000635085296108587
"MOL","drought","mature",3.3825,0.03855,0.328059318823085,0.00547273545252585
"MOL","drought","young",1.6725,0.0349,0.729970033631518,0.00744255780405276
"MOL","well-watered","mature",8.692,0.1307,1.85114937268714,0.0415467447581637
"MOL","well-watered","young",4.58,0.10028,1.44424028471719,0.0382131050818957
"PIN","control","mature",6.07,0.07485,0.11,0.00405
"PIN","control","young",10.5433333333333,0.225266666666667,4.41863603892021,0.101685664891589
"PIN","drought","mature",6.01333333333333,0.0631,1.98401388884028,0.0295523828706474
"PIN","drought","young",7.01,0.0955,1.260965238749,0.00453578365151308
"PIN","well-watered","mature",11.506,0.16734,1.82199231611991,0.028641780670901
"PIN","well-watered","young",7.312,0.12232,1.06355723870415,0.0268546346093184
"PTE","control","mature",7.535,0.0888,3.04043445360473,0.026657581785801
"PTE","control","young",7.63496034975,0.1701926825,5.28558765117241,0.03644629176288
"PTE","drought","mature",0.74,0.00956666666666667,0.0346410161513775,0.00199360087390742
"PTE","drought","young",0.0606387536666667,0.0145171263333333,0.513637402333832,0.00129945399224448
"PTE","well-watered","mature",7.67,0.0812,0.695820858171604,0.0117051982754102
"PTE","well-watered","young",2.945,0.0551,1.4473683014354,0.00333166624979154
"QUE","control","mature",6.9075,0.0812,1.77098077817538,0.0337326992694033
"QUE","drought","mature",5.87666666666667,0.0496,1.22420495742248,0.0106288914442351
"QUE","well-watered","mature",5.0925,0.066425,2.39399726747268,0.033844284968071
"QUE","well-watered","young",3.976,0.0715,0.714462035380467,0.00601157217373293
"ZEA","control","mature",10.585,0.06135,3.215,0.01985
"ZEA","control","young",19.47,0.1685,0.89,0.0467
"ZEA","drought","mature",3.445,0.01925,1.27860927052273,0.00471531193736604
"ZEA","drought","young",2.24,0.0220333333333333,2.20300552276505,0.00820595989374661
"ZEA","well-watered","mature",27.05,0.197025,2.06659946127287,0.0210715596242898
"ZEA","well-watered","young",15.866,0.12116,1.75994488550068,0.00808854745921664
