"campaign","date","roundNum","round","spp","ID","leafAge","treatment","Obs","HHMMSS","FTime","Photo","Cond","Ci","Trmmol","VpdL","Area","Tleaf","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","DateTime","Time","rep","CiCa","Dmmol","gc","CAPindex","MESindex","fround","gc_CAP","gc_MES","qfitCAP","qfitMES"
"Jun-15","22/06/2015",1,"1","BET",1042,"mature","well-watered",4,"08:06:42",43.13,9.61,0.1228,264,1.43,1.17,2,22.95,400.8,396.73,15.62,16.18,62.33,64.57,501,1501,2015-06-22 08:06:42,8.1,"1_BET_well-watered_mature",0.665439971769213,11.5157480314961,0.07675,0.00800015839835358,0.0383854170194192,"1",0.0928338709114983,0.0926216156787814,"yes","yes"
"Jun-15","22/06/2015",1,"1","BET",3012,"mature","well-watered",39,"09:02:17",3393.2,9.99,0.1338,267,1.92,1.44,2,26.89,400.21,395.91,20.14,20.89,68.26,70.81,500,1800,2015-06-22 09:02:17,9.03333333333333,"1_BET_well-watered_mature",0.674395695991513,14.1732283464567,0.083625,0.00751379925673855,0.0353185289605538,"1",0.0902271434367274,0.0848804333591976,"yes","yes"
"Jun-15","22/06/2015",1,"1","BET",9063,"mature","well-watered",18,"09:32:28",1018.3,2.68,0.0242,213,0.43,1.77,2,26.96,400.43,399.28,17.57,17.74,59.67,60.25,500,1500,2015-06-22 09:32:28,9.53333333333333,"1_BET_well-watered_mature",0.53346022841114,17.4212598425197,0.015125,0.00180093872078002,0.0164217556954851,"1",0.0254581882124615,0.0371827788348101,"yes","yes"
"Jun-15","22/06/2015",1,"1","BET",6072,"mature","well-watered",49,"09:58:54",2604.3,7.2,0.0717,226,1.32,1.83,2,27.75,399.72,396.64,18.31,18.82,60.95,62.67,500,1499,2015-06-22 09:58:54,9.96666666666667,"1_BET_well-watered_mature",0.569786204114562,18.011811023622,0.0448125,0.00479386185455746,0.0265701141731757,"1",0.0613370093254825,0.0627984164819693,"yes","yes"
"Jun-15","22/06/2015",2,"2","BET",1042,"mature","well-watered",84,"10:38:10",4960.33,6.32,0.149,316,2.93,1.97,2,28.18,399.86,396.88,17.24,18.39,51.85,55.3,500,1500,2015-06-22 10:38:10,10.6333333333333,"2_BET_well-watered_mature",0.796210441443257,19.3897637795276,0.093125,0.0040529206383426,0.0239845143449135,"2",0.0531317956634061,0.0562720616584852,"yes","yes"
"Jun-15","22/06/2015",2,"2","BET",3012,"mature","well-watered",114,"11:06:16",6645.6,6.2,0.0646,229,1.5,2.33,2,29.16,399.63,396.91,16.58,17.16,49.62,51.38,500,1501,2015-06-22 11:06:16,11.1,"2_BET_well-watered_mature",0.576956992769142,22.9330708661417,0.040375,0.00365562024654441,0.0218426331801364,"2",0.0497315896225752,0.0508657043721499,"yes","yes"
"Jun-15","22/06/2015",2,"2","BET",9063,"mature","well-watered",144,"11:38:28",8577.9,0,0.0068,379,0.19,2.76,2,30.71,400.34,400.31,16.5,16.58,48.95,49.17,500,1499,2015-06-22 11:38:28,11.6333333333333,"2_BET_well-watered_mature",0.946766256151483,27.1653543307087,0.00425,0,0,"2",0.00407110839715145,-0.00426764335420239,"yes","yes"
"Jun-15","22/06/2015",2,"2","BET",6072,"mature","well-watered",175,"12:06:10",10239.38,0.56,0.0195,338,0.53,2.67,2,30.36,400.24,399.93,16.34,16.55,47.3,47.9,500,1501,2015-06-22 12:06:10,12.1,"2_BET_well-watered_mature",0.845147900882654,26.2795275590551,0.0121875,0.000305838473496689,0.00610634979893652,"2",0.00799440301489626,0.0111454940650383,"yes","yes"
"Jun-15","22/06/2015",3,"3","BET",1042,"mature","well-watered",206,"12:33:57",11906,7.93,0.1747,306,4.36,2.52,2,29.98,399.05,395.19,15.52,17.23,41.73,46.34,500,1499,2015-06-22 12:33:57,12.55,"3_BET_well-watered_mature",0.774311090867684,24.8031496062992,0.1091875,0.00451787882391336,0.0238111619921651,"3",0.0613664662090664,0.0558345001490995,"yes","yes"
"Jun-15","22/06/2015",3,"3","BET",3012,"mature","well-watered",237,"12:58:42",13391.5,7.59,0.0769,222,2.32,2.99,2,30.75,399.83,396.43,13.45,14.36,36.07,38.52,500,1499,2015-06-22 12:58:42,12.9666666666667,"3_BET_well-watered_mature",0.559997981989254,29.4291338582677,0.0480625,0.00395587476092103,0.0213484773724947,"3",0.0559979066791933,0.049618397614351,"yes","yes"
"Jun-15","22/06/2015",3,"3","BET",9063,"mature","well-watered",267,"13:35:08",15572.25,-0.46,0.0056,508,0.17,3.04,2,30.82,400.24,400.4,14.06,14.13,37.47,37.66,500,1501,2015-06-22 13:35:08,13.5833333333333,"3_BET_well-watered_mature",1.26873126873127,29.9212598425197,0.0035,-0.000235130877413551,NA,"3",0.000974041506950999,NA,"yes","yes"
"Jun-15","22/06/2015",3,"3","BET",6072,"mature","well-watered",301,"13:58:00",16950.88,1.59,0.0169,232,0.53,3.1,2,31.37,400.52,399.8,14.62,14.83,38.56,39.11,500,1500,2015-06-22 13:58:00,13.9666666666667,"3_BET_well-watered_mature",0.580290145072536,30.511811023622,0.0105625,0.000806183850245493,0.00955080678293936,"3",0.014733203615848,0.0198397042850858,"yes","yes"
"Jun-15","22/06/2015",4,"4","BET",1042,"mature","well-watered",332,"14:32:06",18995.3,10.98,0.1854,281,5.53,2.98,2,31.49,399.22,393.96,14.19,16.37,34.29,39.55,500,1500,2015-06-22 14:32:06,14.5333333333333,"4_BET_well-watered_mature",0.713270382779978,29.3307086614173,0.115875,0.00577263620651397,0.0258105027556168,"4",0.0797932182284435,0.0608810688766784,"yes","yes"
"Jun-15","22/06/2015",4,"4","BET",3012,"mature","well-watered",364,"15:03:11",20846.38,4.5,0.0376,189,1.33,3.47,2,32.78,400.23,398.22,14.5,15.02,34.51,35.76,500,1502,2015-06-22 15:03:11,15.05,"4_BET_well-watered_mature",0.474612023504595,34.1535433070866,0.0235,0.0021661657070377,0.0152204294028524,"4",0.0334134319463374,0.0341504914874788,"yes","yes"
"Jun-15","22/06/2015",4,"4","BET",9063,"mature","well-watered",391,"15:29:47",22457,-0.51,0.0125,438,0.48,3.74,2,33.66,397.13,397.26,14.68,14.87,34.92,35.37,500,1499,2015-06-22 15:29:47,15.4833333333333,"4_BET_well-watered_mature",1.10255248451895,36.8110236220472,0.0078125,-0.000237111565943747,NA,"4",0.000806355192338377,NA,"yes","yes"
"Jun-15","22/06/2015",4,"4","BET",6072,"mature","well-watered",420,"15:52:25",23815.17,4.34,0.0424,215,1.58,3.66,2,33.45,400.1,398.12,14.4,15.02,34.3,35.78,500,1502,2015-06-22 15:52:25,15.8666666666667,"4_BET_well-watered_mature",0.540038179443384,36.0236220472441,0.0265,0.00203476977789965,0.0145562934945137,"4",0.0319547951860709,0.0324741351768626,"yes","yes"
"Jun-15","24/06/2015",1,"1","BET",4034,"mature","well-watered",96,"09:35:01",7708.5,7.37,0.0779,238,0.95,1.22,2,24.83,400.17,397.07,18.58,18.96,65.37,66.67,500,1497,2015-06-24 09:35:01,9.58333333333333,"1_BET_well-watered_mature",0.599390535673811,12.007874015748,0.0486875,0.00600259108961131,0.0329035576229359,"1",0.0711013075394891,0.0787847647002034,"yes","yes"
"Jun-15","24/06/2015",3,"3","BET",4034,"mature","well-watered",333,"14:06:54",24021.6,4.84,0.0349,162,1.05,2.99,2,30.8,399.99,397.89,14.03,14.45,37.99,39.11,500,1499,2015-06-24 14:06:54,14.1,"3_BET_well-watered_mature",0.407147704139335,29.4291338582677,0.0218125,0.00251221631148819,0.0170127356615116,"3",0.0370477210382276,0.0386744810347023,"yes","yes"
"Jun-15","24/06/2015",4,"4","BET",4034,"mature","well-watered",93,"17:09:56",7888.4,5.26,0.0395,168,1.38,3.46,2,31.16,399.86,397.53,10.24,10.78,24.1,25.37,500,1499,2015-06-24 17:09:56,17.15,"4_BET_well-watered_mature",0.422609614368727,34.0551181102362,0.0246875,0.00254059488478663,0.0164953722480107,"4",0.0384639437617628,0.0373685955793087,"yes","yes"
"Jun-15","18/06/2015",1,"1","EUC",3032,"mature","well-watered",38,"08:23:23",3464.9,5.41,0.0462,203,0.67,1.45,2,23.91,400.45,398.19,14.68,14.94,53.52,54.47,501,1499,2015-06-18 08:23:23,8.38333333333333,"1_EUC_well-watered_mature",0.509806876114418,14.2716535433071,0.028875,0.00402896799725047,0.0258177471979653,"1",0.0412842011164115,0.0531863127431809,"yes","yes"
"Jun-15","18/06/2015",1,"1","EUC",2081,"mature","well-watered",82,"09:08:47",6188.17,12.75,0.1947,281,2.47,1.29,2,24.86,399.89,394.4,17.22,18.19,63.08,66.63,500,1499,2015-06-18 09:08:47,9.13333333333333,"1_EUC_well-watered_mature",0.712474645030426,12.6968503937008,0.1216875,0.0101754016701049,0.0422466025553515,"1",0.0971310967827209,0.0994385879623222,"yes","yes"
"Jun-15","18/06/2015",1,"1","EUC",7042,"mature","well-watered",124,"09:53:46",8887.3,16.78,0.2318,268,3.16,1.39,2,25.13,400.15,392.95,16.47,17.71,55.95,60.17,500,1499,2015-06-18 09:53:46,9.88333333333333,"1_EUC_well-watered_mature",0.682020613309581,13.6811023622047,0.144875,0.0129543393204648,0.0467861565738765,"1",0.124527217394358,0.112218827198075,"yes","yes"
"Jun-15","18/06/2015",2,"2","EUC",4044,"mature","well-watered",157,"10:27:42",10924.4,6.11,0.114,302,1.94,1.71,2,26.61,400.6,397.85,16.66,17.42,52.88,55.29,500,1499,2015-06-18 10:27:42,10.45,"2_EUC_well-watered_mature",0.759080055297223,16.8307086614173,0.07125,0.00419410536534313,0.0252774975181773,"2",0.0442052921460721,0.0516653439152844,"yes","yes"
"Jun-15","18/06/2015",2,"2","EUC",3032,"mature","well-watered",168,"10:36:58",11479.75,4.46,0.0412,214,0.84,2.04,2,27.81,399.81,397.9,16.47,16.8,52.77,53.83,500,1501,2015-06-18 10:36:58,10.6,"2_EUC_well-watered_mature",0.537823573762252,20.0787401574803,0.02575,0.00280255929524736,0.0197712122668198,"2",0.0316760380241194,0.0361634592531623,"yes","yes"
"Jun-15","18/06/2015",2,"2","EUC",2081,"mature","well-watered",209,"11:21:25",14146.6,5.73,0.0638,243,1.21,1.9,2,26.84,400.06,397.57,15.57,16.04,50.34,51.87,500,1501,2015-06-18 11:21:25,11.35,"2_EUC_well-watered_mature",0.611213119702191,18.7007874015748,0.039875,0.00373436345146081,0.0232318249884015,"2",0.0405441939737548,0.045906147258112,"yes","yes"
"Jun-15","18/06/2015",2,"2","EUC",7042,"mature","well-watered",250,"12:00:50",16511.5,13.64,0.2112,279,3.72,1.8,2,26.71,400.04,394,15.36,16.83,49.59,54.31,500,1499,2015-06-18 12:00:50,12,"2_EUC_well-watered_mature",0.708121827411167,17.7165354330709,0.132,0.0092258977879627,0.0370126029854,"2",0.0943287568124094,0.0847032711468738,"yes","yes"
"Jun-15","18/06/2015",3,"3","EUC",3032,"mature","well-watered",298,"12:51:18",19539.7,4.88,0.0488,224,1.25,2.55,2,29.47,399.5,397.35,14.95,15.44,43.52,44.95,500,1499,2015-06-18 12:51:18,12.85,"3_EUC_well-watered_mature",0.56373474267019,25.0984251968504,0.0305,0.00274699490868718,0.0185121694876951,"3",0.0325652649440189,0.0326188670179785,"yes","yes"
"Jun-15","18/06/2015",3,"3","EUC",2081,"mature","well-watered",345,"13:42:15",22596.3,6.58,0.0601,210,1.48,2.47,2,28.73,400.26,397.39,14.06,14.64,41.25,42.96,500,1499,2015-06-18 13:42:15,13.7,"3_EUC_well-watered_mature",0.52844812400916,24.3110236220472,0.0375625,0.00376302022630145,0.0218402433796321,"3",0.0431114825820644,0.0419884174979701,"yes","yes"
"Jun-15","18/06/2015",3,"3","EUC",7042,"mature","well-watered",381,"14:34:41",25743.2,12.9,0.1224,214,2.68,2.2,2,28.3,400.07,394.49,15.17,16.22,44.78,47.89,500,1501,2015-06-18 14:34:41,14.5666666666667,"3_EUC_well-watered_mature",0.542472559507212,21.6535433070866,0.0765,0.00788140172505484,0.0325356507664056,"3",0.0845563896468961,0.0720992752097631,"yes","yes"
"Jun-15","24/06/2015",1,"1","EUC",4053,"mature","well-watered",71,"09:09:07",6155.67,15.5,0.1507,222,1.58,1.06,2,24.61,400.24,393.79,19.46,20.08,70.55,72.8,500,1517,2015-06-24 09:09:07,9.15,"1_EUC_well-watered_mature",0.563752253739303,10.4330708661417,0.0941875,0.0136700157082573,0.0514305864087558,"1",0.12481942756633,0.125294324077549,"yes","yes"
"Jun-15","24/06/2015",1,"1","EUC",4053,"mature","well-watered",76,"09:11:13",6281.9,15.1,0.1636,238,1.7,1.05,2,24.53,400.34,394.04,19.4,20.06,70.07,72.47,500,1497,2015-06-24 09:11:13,9.18333333333333,"1_EUC_well-watered_mature",0.603999593949853,10.3346456692913,0.10225,0.0133709838612007,0.0509856303756064,"1",0.121955801651091,0.124041636141722,"yes","yes"
"Jun-15","24/06/2015",1,"1","EUC",8062,"mature","well-watered",86,"09:22:32",6960.8,8.76,0.0647,172,0.79,1.21,2,25.03,399.78,396.15,19.03,19.33,67.62,68.71,500,1497,2015-06-24 09:22:32,9.36666666666667,"1_EUC_well-watered_mature",0.434178972611385,11.9094488188976,0.0404375,0.00718276619161706,0.0360672440056823,"1",0.0687126836623104,0.0820417951791563,"yes","yes"
"Jun-15","24/06/2015",2,"2","EUC",4053,"mature","well-watered",190,"11:26:46",14415.1,9.4,0.1354,274,2.29,1.7,2,27.34,400.11,395.99,18.31,19.2,55.53,58.24,500,1500,2015-06-24 11:26:46,11.4333333333333,"2_EUC_well-watered_mature",0.6919366650673,16.7322834645669,0.084625,0.00650549535017041,0.0315276347614054,"2",0.0667000425616779,0.0692614004659448,"yes","yes"
"Jun-15","24/06/2015",2,"2","EUC",8062,"mature","well-watered",200,"11:37:57",15085.9,6.15,0.0447,167,0.93,2.06,2,28.65,400.17,397.56,18.13,18.49,54.72,55.82,500,1498,2015-06-24 11:37:57,11.6166666666667,"2_EUC_well-watered_mature",0.420062380521179,20.2755905511811,0.0279375,0.00384939526736162,0.0231149460737642,"2",0.0423798545467984,0.0455770972050486,"yes","yes"
"Jun-15","24/06/2015",2,"2","EUC",4034,"mature","well-watered",211,"11:47:51",15679,2.3,0.0224,225,0.47,2.09,2,28.59,400.12,399.13,17.87,18.06,54.3,54.86,500,1498,2015-06-24 11:47:51,11.7833333333333,"2_EUC_well-watered_mature",0.563726104276802,20.5708661417323,0.014,0.0014229453587072,0.0140029963577685,"2",0.0177584184709373,0.0199241593174597,"yes","yes"
