spp,leafAge,Campaign,Treatment,Ep,Ep_err,t_val_Ep,P_val_Ep,upCI_Ep,lwCI_Ep,RMSE_CAP,sqrtEmax,sqrtEmax_err,t_val_MES,P_val_MES,RMSE_MES,Emax,Emax_err,lmaMean,lmaSE,thickMean,thcikSE,AIC_CAP,AIC_MES,RMSE_CAP*100,RMSE_MES*100,The winner is,R2_MES
PTE,mature,Jun-15,well-watered,1.482,0.199,7.435,0.000,1.059,1.905,0.012,0.494,0.043,11.423,0.000,0.014,0.244,0.002,23.405,1.411,146.667,34.801,-98.560,-92.265,1.185,1.426,CAP,0.891
PTE,young,Jun-15,well-watered,6.741,2.989,2.255,0.039,0.370,13.111,0.113,1.535,0.405,3.788,0.002,0.098,2.355,0.164,24.565,3.567,110.000,34.641,-20.366,-25.025,11.300,9.769,MES,0.489
BET,mature,Jun-15,well-watered,2.711,0.368,7.375,0.000,1.938,3.483,0.020,0.750,0.086,8.705,0.000,0.023,0.563,0.007,32.377,0.567,137.500,14.361,-91.547,-74.000,1.958,2.308,CAP,0.826
BET,young,Jun-15,well-watered,3.686,0.469,7.857,0.000,2.697,4.676,0.028,0.920,0.109,8.426,0.000,0.034,0.846,0.012,30.300,2.767,90.000,4.082,-74.033,-66.819,2.769,3.384,CAP,0.807
QUE,mature,Jun-15,well-watered,2.071,0.199,10.420,0.000,1.653,2.488,0.012,0.674,0.058,11.591,0.000,0.017,0.454,0.003,40.551,2.640,117.500,10.308,-109.738,-85.249,1.213,1.658,CAP,0.894
QUE,young,Jun-15,well-watered,3.525,0.335,10.516,0.000,2.823,4.226,0.013,0.758,0.038,20.023,0.000,0.010,0.574,0.001,24.110,2.706,77.500,8.539,-111.664,-123.371,1.343,1.002,MES,0.955
EUC,mature,Jun-15,well-watered,1.928,0.181,10.668,0.000,1.550,2.306,0.018,0.711,0.052,13.572,0.000,0.022,0.506,0.003,51.998,6.428,193.333,16.667,-100.655,-91.392,1.768,2.229,Not clear,0.906
EUC,young,Jun-15,well-watered,2.071,0.245,8.457,0.000,1.554,2.587,0.020,0.704,0.058,12.144,0.000,0.022,0.496,0.003,43.196,2.141,170.000,11.547,-85.793,-81.804,1.998,2.232,CAP,0.897
PIN,mature,Jun-15,well-watered,2.321,0.173,13.405,0.000,1.952,2.690,0.016,0.790,0.056,14.061,0.000,0.023,0.624,0.003,122.751,5.047,673.333,78.387,-82.511,-71.178,1.621,2.309,CAP,0.929
PIN,young,Jun-15,well-watered,3.169,0.308,10.303,0.000,2.513,3.824,0.024,0.880,0.066,13.250,0.000,0.025,0.775,0.004,100.255,12.616,473.333,80.069,-70.146,-68.683,2.385,2.497,CAP,0.921
