"spp","leafAge","treatment","vcmax_TsenMean","vcmax_TsenSE","sampleNo"
"BET","mature","control",32.0774880066036,4.99549415481633,10
"BET","mature","drought",17.5492797595796,6.14260024514835,11
"BET","mature","well-watered",31.7871239254943,3.93414231767107,17
"BET","young","control",17.1827827900505,2.5884060253623,10
"BET","young","drought",12.5555508052309,2.97368465507449,11
"BET","young","well-watered",32.6758465449804,3.91764282129673,18
"EUC","mature","control",23.5949091024747,6.34509808295674,10
"EUC","mature","drought",13.7170874894023,4.61126451074492,9
"EUC","mature","well-watered",46.9536813079213,4.7667475883706,20
"EUC","young","control",20.7114470253628,6.29310311275983,10
"EUC","young","drought",11.3775358448867,3.96393998665768,9
"EUC","young","well-watered",46.6552004860742,3.8105698255662,18
"MOL","mature","control",14.9612329254342,2.57706466067474,15
"MOL","mature","drought",13.0624385045708,1.98232200024454,21
"MOL","mature","well-watered",33.6656220857774,5.06763905336638,16
"MOL","young","control",9.97287680800511,1.66396458701818,15
"MOL","young","drought",8.42368922584872,1.8771987612907,18
"MOL","young","well-watered",18.8352396058219,2.56818177988983,18
"PIN","mature","control",25.418172873358,4.15090558095822,15
"PIN","mature","drought",24.5330365357926,5.54782696235673,16
"PIN","mature","well-watered",46.1155420353017,4.2554306557478,16
"PIN","young","control",34.8070424496916,7.29283942312604,16
"PIN","young","drought",23.2502170306245,5.59619604535784,14
"PIN","young","well-watered",34.8046764750593,3.25116146585621,16
"PTE","mature","control",48.2324295371401,21.8224717039413,9
"PTE","mature","drought",11.8691348004413,5.29153128328681,7
"PTE","mature","well-watered",38.1215564367366,4.13017549218167,17
"PTE","young","control",33.872515875273,22.9928219660721,9
"PTE","young","drought",3.27181909486342,0.474761948842338,5
"PTE","young","well-watered",70.3773829599148,56.7720593638869,16
"QUE","mature","control",28.5498642564329,3.40923136425786,18
"QUE","mature","drought",27.3204491793978,5.75804860165374,23
"QUE","mature","well-watered",43.2288067814871,5.8216095096545,17
"QUE","young","well-watered",18.984739440939,2.01240089856705,20
"ZEA","mature","control",NA,NA,0
"ZEA","mature","drought",NA,NA,0
"ZEA","mature","well-watered",NA,NA,0
"ZEA","young","control",NA,NA,0
"ZEA","young","drought",NA,NA,0
"ZEA","young","well-watered",NA,NA,0
