"spp","leafAge","treatment","vcmax_TsenMean","vcmax_TsenSE","sampleNo"
"BET","mature","control",43.047644576613,3.72648394602369,3
"BET","mature","drought",31.7031354794436,13.0675597701223,4
"BET","mature","well-watered",37.1150747114597,5.57055138615427,5
"BET","young","control",19.6162917995248,5.43109887212269,3
"BET","young","drought",19.8262868103649,5.71431936625534,4
"BET","young","well-watered",35.1027601584104,3.38589302597643,5
"EUC","mature","control",36.917247550396,5.90087543684988,4
"EUC","mature","drought",23.1993812451923,7.36684710146436,4
"EUC","mature","well-watered",66.4364636444356,7.90138550565145,6
"EUC","young","control",40.737993787201,14.4381950758546,3
"EUC","young","drought",19.493921411308,6.97451023153654,4
"EUC","young","well-watered",58.4493501503141,7.26368975372588,5
"MOL","mature","control",12.2013242316096,2.83594566787193,3
"MOL","mature","drought",20.0281308307236,8.21984093572801,4
"MOL","mature","well-watered",29.8288336563608,8.41164848572226,5
"MOL","young","control",15.5256867111432,2.66647125860468,3
"MOL","young","drought",14.4289805523924,5.91702383723016,4
"MOL","young","well-watered",26.9905600205602,2.41204049772039,6
"PIN","mature","control",49.7455929044714,5.98006748037081,2
"PIN","mature","drought",58.9245711267682,4.14294790849104,3
"PIN","mature","well-watered",55.6873232956665,7.91310377984349,5
"PIN","young","control",76.4558363015038,12.7667496965947,3
"PIN","young","drought",52.0141907554887,1.81715220281397,3
"PIN","young","well-watered",47.7203327880533,2.25112656073083,5
"PTE","mature","control",32.8119039723223,12.8771910482073,3
"PTE","mature","drought",22.6995096322513,9.52603076938345,3
"PTE","mature","well-watered",47.6798112199251,8.07526870885017,6
"PTE","young","control",13.3028084274564,4.36349937461799,3
"PTE","young","drought",3.92272547404117,0.387698618812213,3
"PTE","young","well-watered",196.460085233654,181.081288097548,5
"QUE","mature","control",33.2113434671955,7.51489926655615,3
"QUE","mature","drought",33.3167874084097,3.00698756975512,4
"QUE","mature","well-watered",48.7707799042091,15.5498556226532,5
"QUE","young","well-watered",21.8154772725888,3.91136183515893,5
"ZEA","mature","control",NA,NA,0
"ZEA","mature","drought",NA,NA,0
"ZEA","mature","well-watered",NA,NA,0
"ZEA","young","control",NA,NA,0
"ZEA","young","drought",NA,NA,0
"ZEA","young","well-watered",NA,NA,0
