spp,Treatment,leafAge,Species,Campaign,g0,g0_err,t_val_g0,P_val_g0,Ep,Ep_err,t_val_Ep,P_val_Ep,upCI_Ep,lwCI_Ep,CI_Ep,AIC_CAP,RMSE_CAP,intMES,intMES_err,t_val_intMES,P_val_intMES,sqrtEmax,sqrtEmax_err,t_val_MES,P_val_MES,AIC_MES,R2_MES,RMSE_MES,lmaMean,lmaSE,thickMean,thcikSE,Emax,Emax_err,wpMean,wpSE,,,slope,intercept,WPcrit
BET,drought,mature,1,Aug-15,0.0046756,0.001012974,4.615714946,0.000400318,0.684528679,0.136334198,5.020960921,0.000187105,0.392120919,0.976936461,0.292407782,-132.5265209,0.003189496,-0.002557274,0.002645136,-0.966783366,0.358911624,0.398901426,0.048118242,8.290024966,1.66E-05,-81.6680102,0.884206416,0.003730568,32.3772754,0.566500724,137.5,14.36140662,0.159122348,0.002315365,-1.474,0.34234729,0.964567823,0.961,1.003712615,1.6386,-1.632539012
BET,well-watered,mature,1,Aug-15,-0.000468097,0.008496162,-0.055095161,0.957147869,2.877957869,0.553990011,5.194963465,0.000404229,1.64359141,4.112324337,1.234366468,-56.9140484,0.017591187,-0.026903977,0.016003555,-1.68112497,0.131245461,1.060042532,0.189124305,5.605004235,0.000507278,-43.9814068,0.79703711,0.018148459,32.3772754,0.566500724,137.5,14.36140662,1.12369017,0.035768003,-0.513,0.122414596,,,,,
EUC,drought,mature,2,Aug-15,0.008183275,0.001956959,4.181628054,0.00092294,1.336898874,0.258520626,5.17134317,0.000141833,0.782427285,1.891370487,0.554471612,-109.4043799,0.006569448,-0.007712233,0.004724985,-1.63222375,0.146651729,0.576121776,0.076135392,7.567069146,0.000129797,-57.86335051,0.891068446,0.005223516,51.99846003,6.428179487,193.3333333,16.66666667,0.331916301,0.005796598,-0.966,0.403279473,0.073860329,0.38275,0.192972773,0.5183,-2.685871129
EUC,well-watered,mature,2,Aug-15,0.008127869,0.00327302,2.483293175,0.03039541,1.198958721,0.27618467,4.341148699,0.001172551,0.591080338,1.806837063,0.607878343,-81.01151831,0.008518326,-0.010716886,0.007981871,-1.342653388,0.216233263,0.637005989,0.109757095,5.803779609,0.000403422,-56.17334601,0.808079184,0.009477943,51.99846003,6.428179487,193.3333333,16.66666667,0.40577663,0.01204662,-0.58325,0.282250295,,,,,
MOL,drought,mature,3,Aug-15,0.012198293,0.001977331,6.169068955,6.28E-06,1.178094527,0.293933244,4.008034314,0.000752259,0.562885189,1.793303855,0.615209327,-154.670492,0.005276847,0.005512375,0.002988481,1.844540628,0.080753525,0.470607599,0.061782849,7.617123571,3.45E-07,-153.281536,0.753312659,0.005454272,60.23131312,6.217802357,176.6666667,14.52966315,0.221471512,0.00381712,-1.381428571,0.253312329,0.382336161,0.899095238,0.425245452,0.8089,-1.902195536
MOL,well-watered,mature,3,Aug-15,0.039757676,0.031210271,1.273865144,0.225015231,0.650412113,4.937698443,0.131723741,0.89721963,-10.01683704,11.31766142,10.66724931,-43.16419855,0.046993539,0.014884753,0.051708751,0.287857519,0.777993694,0.777050625,1.045181689,0.743459853,0.470427195,-43.93470241,0.040783846,0.04580195,60.23131312,6.217802357,176.6666667,14.52966315,0.603807673,1.092404762,-0.482333333,0.046698798,,,,,
PIN,drought,mature,4,Aug-15,0.000206407,0.002438979,0.084628568,0.933675873,1.286043181,0.169917908,7.568614712,1.69E-06,0.923872066,1.648214267,0.362171087,-114.6246343,0.006965946,-0.009357695,0.005057799,-1.850151784,0.084089083,0.51960837,0.066966109,7.75927374,1.25E-06,-99.43529047,0.800548701,0.01088928,122.7508105,5.046544154,673.3333333,78.38650678,0.269992859,0.00448446,-0.536166667,0.080274702,-0.012136771,0.169833333,-0.071462834,0.2317,-2.317E+37
PIN,well-watered,mature,4,Aug-15,0.007508278,0.003416863,2.197418453,0.045319025,1.291977843,0.257863491,5.010317043,0.00019083,0.738915667,1.845040029,0.553062186,-103.2992967,0.007950332,0.000830967,0.005711397,0.145492853,0.886553441,0.50779532,0.074327657,6.831848897,1.20E-05,-90.95281956,0.782150262,0.00925151,122.7508105,5.046544154,673.3333333,78.38650678,0.257856087,0.005524601,-0.366333333,0.103283321,,,,,
PTE,drought,mature,5,Aug-15,0.002782059,0.001122696,2.478016606,0.032653545,0.63901657,0.23263224,2.746896006,0.020587631,0.120679619,1.157353494,0.518336923,-100.8700066,0.00281764,-0.002646961,0.002575594,-1.027708799,0.338283149,0.348554443,0.059391885,5.868721638,0.000618741,-71.02911434,0.8310888,0.002902523,23.4047625,1.411176063,146.6666667,34.8010217,0.1214902,0.003527396,-0.890333333,0.252532198,0.277512981,0.438333333,0.633109463,0.6852,-1.0822773
PTE,well-watered,mature,5,Aug-15,0.024151881,0.01573712,1.534707803,0.168728998,1.076234396,1.114040009,0.966064403,0.366194069,-1.558051577,3.710520418,2.634286021,-36.9120359,0.022305087,0.010797019,0.025904097,0.416807405,0.689303711,0.631666986,0.351973493,1.794643626,0.115788478,-35.44599419,0.315118468,0.024197795,23.4047625,1.411176063,146.6666667,34.8010217,0.399003181,0.12388534,-0.452,0.071582121,,,,,
